metaphlan	clade	msp
SGB15461	t__SGB15461	msp_1639
SGB4425_group	t__SGB4425_group	msp_0178
SGB5104	t__SGB5104	msp_0499
SGB8021	t__SGB8021	msp_0983
SGB9344	t__SGB9344	msp_0795
SGB2131	t__SGB2131	msp_0880
SGB1704	t__SGB1704	msp_1981
SGB5111	t__SGB5111	msp_0039
SGB14958	t__SGB14958	msp_1609c
SGB1423	t__SGB1423	msp_0681
SGB1858	t__SGB1858	msp_0054
SGB9333	t__SGB9333	msp_0183
SGB14017	t__SGB14017	msp_1086
SGB15212	t__SGB15212	msp_1098
SGB5870	t__SGB5870	msp_1034
SGB1949	t__SGB1949	msp_0027
SGB9153	t__SGB9153	msp_0990
SGB2229	t__SGB2229	msp_1474
SGB2318	t__SGB2318	msp_0090
SGB8599	t__SGB8599	msp_0455
SGB14881	t__SGB14881	msp_1780c
SGB7088_group	t__SGB7088_group	msp_0408
SGB4588	t__SGB4588	msp_0246
SGB15218	t__SGB15218	msp_1550
SGB5801	t__SGB5801	msp_1065
SGB15452	t__SGB15452	msp_0110
SGB14803	t__SGB14803	msp_0638
SGB1853	t__SGB1853	msp_0033
SGB6847	t__SGB6847	msp_1308
SGB15072	t__SGB15072	msp_0391
SGB15398	t__SGB15398	msp_0354
SGB6449	t__SGB6449	msp_1455
SGB4655	t__SGB4655	msp_0247
SGB1934	t__SGB1934	msp_0012
SGB5967	t__SGB5967	msp_0395
SGB9226	t__SGB9226	msp_0025
SGB14301	t__SGB14301	msp_0859
SGB5858	t__SGB5858	msp_0197
SGB15159	t__SGB15159	msp_0342
SGB14042	t__SGB14042	msp_0728
SGB1889	t__SGB1889	msp_1229
SGB4894	t__SGB4894	msp_0060
SGB4669	t__SGB4669	msp_0945
SGB5862	t__SGB5862	msp_0501
SGB6513	t__SGB6513	msp_1110
SGB6538	t__SGB6538	msp_1450
SGB19351_group	t__SGB19351_group	msp_0844c
SGB8770	t__SGB8770	msp_1182
SGB1824	t__SGB1824	msp_0211
SGB1948	t__SGB1948	msp_0083
SGB6526	t__SGB6526	msp_1160
SGB2237	t__SGB2237	msp_0987
SGB8028_group	t__SGB8028_group	msp_1127
SGB4760	t__SGB4760	msp_0020
SGB14177	t__SGB14177	msp_0619
SGB15015	t__SGB15015	msp_0597
SGB6450	t__SGB6450	msp_1417
SGB14151	t__SGB14151	msp_0372
SGB1821	t__SGB1821	msp_0217
SGB4859	t__SGB4859	msp_0933
SGB15022	t__SGB15022	msp_0643
SGB15156	t__SGB15156	msp_0545
SGB4552	t__SGB4552	msp_0655
SGB27424	t__SGB27424	msp_1824
SGB2328	t__SGB2328	msp_0287
SGB15198	t__SGB15198	msp_0319
SGB5065	t__SGB5065	msp_0206
SGB4749	t__SGB4749	msp_0079
SGB9242	t__SGB9242	msp_1116
SGB6570	t__SGB6570	msp_1008
SGB1855	t__SGB1855	msp_0010
SGB25497	t__SGB25497	msp_0558
SGB15394	t__SGB15394	msp_0348
SGB2025	t__SGB2025	msp_1242
SGB1796	t__SGB1796	msp_0495
SGB6370	t__SGB6370	msp_1069
SGB15036	t__SGB15036	msp_1707
SGB6285	t__SGB6285	msp_1260
SGB15275	t__SGB15275	msp_1548
SGB5200	t__SGB5200	msp_1541
SGB14260	t__SGB14260	msp_1248
SGB4987	t__SGB4987	msp_0018
SGB1668	t__SGB1668	msp_0257
SGB15090	t__SGB15090	msp_0352
SGB4721	t__SGB4721	msp_0129
SGB4831	t__SGB4831	msp_1643c
SGB4963	t__SGB4963	msp_0885
SGB15239	t__SGB15239	msp_0453
SGB4747	t__SGB4747	msp_0233
SGB4829	t__SGB4829	msp_1038
SGB15295	t__SGB15295	msp_0418
SGB14124	t__SGB14124	msp_1538
SGB4961	t__SGB4961	msp_0440
SGB6747	t__SGB6747	msp_0883
SGB4037	t__SGB4037	msp_0103
SGB4194	t__SGB4194	msp_0444
SGB4619	t__SGB4619	msp_1250
SGB15103	t__SGB15103	msp_0747
SGB15233	t__SGB15233	msp_0404
SGB6564	t__SGB6564	msp_1101
SGB6498	t__SGB6498	msp_1170
SGB5985	t__SGB5985	msp_1081
SGB15236	t__SGB15236	msp_0596
SGB4629	t__SGB4629	msp_1491
SGB3996	t__SGB3996	msp_0315
SGB5904	t__SGB5904	msp_0359
SGB2214	t__SGB2214	msp_1107
SGB4159	t__SGB4159	msp_1629
SGB6039	t__SGB6039	msp_0266
SGB5116	t__SGB5116	msp_0989
SGB4797	t__SGB4797	msp_0268
SGB6305	t__SGB6305	msp_1033
SGB6532	t__SGB6532	msp_1427
SGB4583	t__SGB4583	msp_0111
SGB13947	t__SGB13947	msp_1102
SGB7106	t__SGB7106	msp_1006
SGB1895	t__SGB1895	msp_0096
SGB13825	t__SGB13825	msp_0840
SGB5042	t__SGB5042	msp_0630
SGB7298_group	t__SGB7298_group	msp_0974c
SGB7039	t__SGB7039	msp_1805
SGB8000	t__SGB8000	msp_1477
SGB14049	t__SGB14049	msp_0929
SGB5121	t__SGB5121	msp_0133:0.35686831547950426,msp_0223:0.6431316845204957
SGB14198	t__SGB14198	msp_1483
SGB1697	t__SGB1697	msp_1045
SGB4706	t__SGB4706	msp_0820
SGB7093	t__SGB7093	msp_1773
SGB4448	t__SGB4448	msp_0507
SGB7044	t__SGB7044	msp_1268
SGB15120	t__SGB15120	msp_0509
SGB14741	t__SGB14741	msp_0946
SGB10133	t__SGB10133	msp_0865
SGB1792	t__SGB1792	msp_0216
SGB15140	t__SGB15140	msp_1584
SGB6661	t__SGB6661	msp_1336
SGB6007	t__SGB6007	msp_0610
SGB13976	t__SGB13976	msp_0854
SGB3983	t__SGB3983	msp_0392
SGB4716	t__SGB4716	msp_0898
SGB4628	t__SGB4628	msp_0524
SGB6846	t__SGB6846	msp_0671
SGB14150	t__SGB14150	msp_0421
SGB15449	t__SGB15449	msp_0253
SGB4133	t__SGB4133	msp_0629
SGB1891	t__SGB1891	msp_0043
SGB14862	t__SGB14862	msp_1443
SGB1673	t__SGB1673	msp_0746
SGB15173	t__SGB15173	msp_0755c
SGB25437	t__SGB25437	msp_1656
SGB2087	t__SGB2087	msp_0653
SGB4779	t__SGB4779	msp_1608c
SGB5063	t__SGB5063	msp_0387
SGB1798	t__SGB1798	msp_0026
SGB1782	t__SGB1782	msp_0117
SGB14334	t__SGB14334	msp_0595
SGB4406	t__SGB4406	msp_0891
SGB6744	t__SGB6744	msp_0153
SGB4449	t__SGB4449	msp_1010
SGB4940	t__SGB4940	msp_0072
SGB4744	t__SGB4744	msp_0402
SGB5045	t__SGB5045	msp_0236
SGB4191	t__SGB4191	msp_0047
SGB14873	t__SGB14873	msp_1845
SGB14229	t__SGB14229	msp_0727
SGB15385	t__SGB15385	msp_0553
SGB48242	t__SGB48242	msp_1178
SGB1679	t__SGB1679	msp_0275
SGB14025	t__SGB14025	msp_0941
SGB4798	t__SGB4798	msp_0309
SGB4563	t__SGB4563	msp_0152
SGB6768	t__SGB6768	msp_0828
SGB6430	t__SGB6430	msp_1398
SGB14238	t__SGB14238	msp_1003
SGB14923	t__SGB14923	msp_0384
SGB2313	t__SGB2313	msp_0214
SGB1946	t__SGB1946	msp_0316
SGB6184	t__SGB6184	msp_0515
SGB15300	t__SGB15300	msp_0374
SGB17244_group	t__SGB17244_group	msp_0263
SGB6543	t__SGB6543	msp_1232
SGB6484	t__SGB6484	msp_1204
SGB5057	t__SGB5057	msp_0863
SGB1600	t__SGB1600	msp_0137
SGB2154	t__SGB2154	msp_0476
SGB2299	t__SGB2299	msp_0429
SGB8634	t__SGB8634	msp_0564
SGB4705	t__SGB4705	msp_0346
SGB4820	t__SGB4820	msp_0208
SGB6174	t__SGB6174	msp_0760
SGB1847	t__SGB1847	msp_1284
SGB14024	t__SGB14024	msp_1396c
SGB1559	t__SGB1559	msp_1412
SGB72735	t__SGB72735	msp_0641
SGB4888	t__SGB4888	msp_1077
SGB6338	t__SGB6338	msp_0961
SGB4155	t__SGB4155	msp_1022
SGB15099	t__SGB15099	msp_0822
SGB746	t__SGB746	msp_0935
SGB15299	t__SGB15299	msp_0407
SGB5736	t__SGB5736	msp_0221
SGB4910	t__SGB4910	msp_0055
SGB4615	t__SGB4615	msp_1747
SGB14739	t__SGB14739	msp_1436
SGB1789	t__SGB1789	msp_0827
SGB9208	t__SGB9208	msp_0116
SGB1933	t__SGB1933	msp_0394
SGB14336	t__SGB14336	msp_1125
SGB4272	t__SGB4272	msp_0529
SGB8625	t__SGB8625	msp_0660
SGB4644	t__SGB4644	msp_0093
SGB8597	t__SGB8597	msp_0620
SGB8608	t__SGB8608	msp_1104
SGB9992	t__SGB9992	msp_0228
SGB14007	t__SGB14007	msp_0928
SGB4936	t__SGB4936	msp_0071
SGB4335	t__SGB4335	msp_0835
SGB14125	t__SGB14125	msp_1090
SGB8003	t__SGB8003	msp_1453
SGB6483	t__SGB6483	msp_1434
SGB15210	t__SGB15210	msp_0536
SGB1587	t__SGB1587	msp_0320
SGB15150	t__SGB15150	msp_0492
SGB4793	t__SGB4793	msp_1624
SGB4418	t__SGB4418	msp_0367
SGB6411	t__SGB6411	msp_1233
SGB1612	t__SGB1612	msp_1732
SGB9342	t__SGB9342	msp_0642
SGB4385	t__SGB4385	msp_2009
SGB4718	t__SGB4718	msp_1562
SGB1699	t__SGB1699	msp_0081
SGB14932	t__SGB14932	msp_1177
SGB14307	t__SGB14307	msp_0732
SGB2185	t__SGB2185	msp_1640
SGB14968	t__SGB14968	msp_0566
SGB3677	t__SGB3677	msp_0656
SGB6602	t__SGB6602	msp_0808
SGB1662	t__SGB1662	msp_0176
SGB15252	t__SGB15252	msp_0988
SGB15086	t__SGB15086	msp_1665
SGB3970	t__SGB3970	msp_0104
SGB13956	t__SGB13956	msp_1903
SGB6360	t__SGB6360	msp_1442
SGB6927_group	t__SGB6927_group	msp_1799
SGB5239	t__SGB5239	msp_0825
SGB5785	t__SGB5785	msp_0594
SGB4327	t__SGB4327	msp_0277
SGB15127	t__SGB15127	msp_1012
SGB14099	t__SGB14099	msp_1067
SGB8653	t__SGB8653	msp_0897
SGB6308	t__SGB6308	msp_0685
SGB376	t__SGB376	msp_1318
SGB3978	t__SGB3978	msp_1946
SGB15271	t__SGB15271	msp_0172
SGB14216	t__SGB14216	msp_0996
SGB3578	t__SGB3578	msp_0401
SGB6307	t__SGB6307	msp_1134
SGB6442	t__SGB6442	msp_1380
SGB6935	t__SGB6935	msp_1329
SGB14111	t__SGB14111	msp_1192
SGB9387	t__SGB9387	msp_1019
SGB1977	t__SGB1977	msp_1361
SGB1795	t__SGB1795	msp_0470
SGB15091	t__SGB15091	msp_0121
SGB6493	t__SGB6493	msp_1068
SGB6031	t__SGB6031	msp_0338
SGB1822	t__SGB1822	msp_0187
SGB6396	t__SGB6396	msp_1301
SGB13984	t__SGB13984	msp_1439
SGB1848	t__SGB1848	msp_1737
SGB4038	t__SGB4038	msp_1700
SGB14810	t__SGB14810	msp_1901
SGB4691	t__SGB4691	msp_0181
SGB14370	t__SGB14370	msp_1531c
SGB4364	t__SGB4364	msp_0343
SGB4314	t__SGB4314	msp_1002
SGB1931	t__SGB1931	msp_0528
SGB5800	t__SGB5800	msp_1064
SGB6753	t__SGB6753	msp_0927
SGB4951	t__SGB4951	msp_0017
SGB6302	t__SGB6302	msp_1261
SGB6148	t__SGB6148	msp_0422
SGB5832	t__SGB5832	msp_0926
SGB6359	t__SGB6359	msp_1413
SGB3993	t__SGB3993	msp_0793
SGB4872	t__SGB4872	msp_1527
SGB6365	t__SGB6365	msp_1198
SGB6806	t__SGB6806	msp_0648
SGB15125	t__SGB15125	msp_1519
SGB6604	t__SGB6604	msp_1071
SGB6452	t__SGB6452	msp_1201
SGB13987	t__SGB13987	msp_1147
SGB5843	t__SGB5843	msp_1114
SGB14328	t__SGB14328	msp_1131
SGB4280	t__SGB4280	msp_0290
SGB1613	t__SGB1613	msp_0084
SGB3990	t__SGB3990	msp_1053
SGB14943	t__SGB14943	msp_1355
SGB4937	t__SGB4937	msp_0459
SGB15368	t__SGB15368	msp_0034
SGB4993	t__SGB4993	msp_0125
SGB15013	t__SGB15013	msp_1468
SGB4572	t__SGB4572	msp_0706
SGB8774	t__SGB8774	msp_1829
SGB8624	t__SGB8624	msp_0775
SGB2108	t__SGB2108	msp_1836
SGB6270	t__SGB6270	msp_1726
SGB4053	t__SGB4053	msp_1195
SGB13981	t__SGB13981	msp_0449
SGB4341	t__SGB4341	msp_1644
SGB14929	t__SGB14929	msp_1171
SGB1980	t__SGB1980	msp_1600
SGB6297	t__SGB6297	msp_1612
SGB4670	t__SGB4670	msp_0986
SGB9265	t__SGB9265	msp_0954
SGB14190	t__SGB14190	msp_1379
SGB1614	t__SGB1614	msp_0078
SGB9294	t__SGB9294	msp_0919
SGB4557	t__SGB4557	msp_0250
SGB6344	t__SGB6344	msp_1373
SGB6353	t__SGB6353	msp_1435
SGB6501	t__SGB6501	msp_1366
SGB6347	t__SGB6347	msp_0757
SGB14250	t__SGB14250	msp_0652
SGB15195	t__SGB15195	msp_1699
SGB4241	t__SGB4241	msp_0606
SGB1877	t__SGB1877	msp_0023
SGB748	t__SGB748	msp_1327
SGB1474	t__SGB1474	msp_1834
SGB15158	t__SGB15158	msp_0634
SGB14853	t__SGB14853	msp_0340
SGB15280	t__SGB15280	msp_0350
SGB6367	t__SGB6367	msp_0947
SGB6264	t__SGB6264	msp_1262
SGB1857	t__SGB1857	msp_0037
SGB6272	t__SGB6272	msp_1283
SGB4528	t__SGB4528	msp_1906
SGB4436	t__SGB4436	msp_1649
SGB6384	t__SGB6384	msp_2039
SGB17364	t__SGB17364	msp_1075
SGB6936	t__SGB6936	msp_0884
SGB15165	t__SGB15165	msp_0701
SGB5731	t__SGB5731	msp_0869
SGB3574	t__SGB3574	msp_0908
SGB2238	t__SGB2238	msp_0261
SGB6362	t__SGB6362	msp_0586
SGB15213	t__SGB15213	msp_0761
SGB15085	t__SGB15085	msp_0932
SGB1910	t__SGB1910	msp_0101
SGB14364	t__SGB14364	msp_1528
SGB4532	t__SGB4532	msp_0050
SGB4419	t__SGB4419	msp_0717
SGB5182	t__SGB5182	msp_0848
SGB4045	t__SGB4045	msp_1590c
SGB714	t__SGB714	msp_0585
SGB6329	t__SGB6329	msp_0964
SGB14237	t__SGB14237	msp_0823
SGB2016	t__SGB2016	msp_1456c
SGB9278	t__SGB9278	msp_2127
SGB14039	t__SGB14039	msp_1574
SGB14786	t__SGB14786	msp_1557
SGB5076	t__SGB5076	msp_0158
SGB4648	t__SGB4648	msp_0238
SGB2145	t__SGB2145	msp_1560
SGB1818	t__SGB1818	msp_1879
SGB2133	t__SGB2133	msp_0786
SGB4742	t__SGB4742	msp_0024
SGB6818	t__SGB6818	msp_1857
SGB15077	t__SGB15077	msp_0670
SGB14908	t__SGB14908	msp_0678
SGB6503	t__SGB6503	msp_1047
SGB8592	t__SGB8592	msp_1719
SGB9199	t__SGB9199	msp_0255
SGB15507	t__SGB15507	msp_0279
SGB9277	t__SGB9277	msp_0937
SGB4882	t__SGB4882	msp_0074
SGB4368	t__SGB4368	msp_0784
SGB2073	t__SGB2073	msp_0525
SGB14110	t__SGB14110	msp_0798
SGB4776	t__SGB4776	msp_2165
SGB10127	t__SGB10127	msp_1766
SGB29095	t__SGB29095	msp_1677
SGB15241	t__SGB15241	msp_1551
SGB13972	t__SGB13972	msp_0567
SGB4193	t__SGB4193	msp_0427
SGB1588	t__SGB1588	msp_0067
SGB4343	t__SGB4343	msp_1422
SGB14360	t__SGB14360	msp_0873
SGB6771	t__SGB6771	msp_0132
SGB4394	t__SGB4394	msp_0959
SGB15253	t__SGB15253	msp_1469
SGB14018	t__SGB14018	msp_0944
SGB6188	t__SGB6188	msp_0323
SGB14263	t__SGB14263	msp_0624
SGB10141	t__SGB10141	msp_1511c
SGB1024	t__SGB1024	msp_1111
SGB7217	t__SGB7217	msp_1223c
SGB17247	t__SGB17247	msp_0627
SGB6477	t__SGB6477	msp_1369
SGB5989_group	t__SGB5989_group	msp_1783
SGB5986	t__SGB5986	msp_0574c
SGB4624	t__SGB4624	msp_1084
SGB4262	t__SGB4262	msp_0013
SGB4922	t__SGB4922	msp_0169
SGB1829	t__SGB1829	msp_0036
SGB15350	t__SGB15350	msp_1349
SGB14114	t__SGB14114	msp_0555
SGB1898	t__SGB1898	msp_0658
SGB9292	t__SGB9292	msp_0801
SGB4697	t__SGB4697	msp_1118
SGB15095	t__SGB15095	msp_0612
SGB15045	t__SGB15045	msp_0552
SGB9345	t__SGB9345	msp_0830
SGB14955	t__SGB14955	msp_1382
SGB4367	t__SGB4367	msp_0105
SGB4703	t__SGB4703	msp_0186
SGB4130	t__SGB4130	msp_1579c
SGB15203	t__SGB15203	msp_0303
SGB4785	t__SGB4785	msp_0180
SGB4762	t__SGB4762	msp_0056
SGB1836	t__SGB1836	msp_0046
SGB4333	t__SGB4333	msp_1267
SGB57575	t__SGB57575	msp_0913
SGB4575	t__SGB4575	msp_0506
SGB6178	t__SGB6178	msp_0362
SGB4421	t__SGB4421	msp_0325
SGB3989	t__SGB3989	msp_0773
SGB15073	t__SGB15073	msp_0766
SGB1653	t__SGB1653	msp_0339
SGB5075	t__SGB5075	msp_0087
SGB7050	t__SGB7050	msp_0691
SGB5853	t__SGB5853	msp_0366
SGB1883	t__SGB1883	msp_0190
SGB6517	t__SGB6517	msp_1425
SGB14962	t__SGB14962	msp_0150c
SGB15042	t__SGB15042	msp_1100
SGB4551	t__SGB4551	msp_1604
SGB1871	t__SGB1871	msp_0007
SGB4751	t__SGB4751	msp_0693
SGB15049	t__SGB15049	msp_1143
SGB6790	t__SGB6790	msp_0698
SGB6385	t__SGB6385	msp_0907
SGB6438	t__SGB6438	msp_0779
SGB15164	t__SGB15164	msp_0471
SGB1586	t__SGB1586	msp_1174
SGB1672	t__SGB1672	msp_1568
SGB1540	t__SGB1540	msp_1793
SGB4989	t__SGB4989	msp_0085
SGB4123	t__SGB4123	msp_1011
SGB15012	t__SGB15012	msp_1342
SGB4674	t__SGB4674	msp_0758
SGB4722	t__SGB4722	msp_1515
SGB15131	t__SGB15131	msp_0442
SGB4423	t__SGB4423	msp_0405
SGB6836	t__SGB6836	msp_0837
SGB1781	t__SGB1781	msp_1340
SGB6754	t__SGB6754	msp_0188
SGB1888	t__SGB1888	msp_0114
SGB4957	t__SGB4957	msp_0576
SGB6973	t__SGB6973	msp_1613
SGB6298	t__SGB6298	msp_1181
SGB5061	t__SGB5061	msp_0433
SGB5842	t__SGB5842	msp_1193
SGB14749	t__SGB14749	msp_0562
SGB1916	t__SGB1916	msp_0934
SGB14805	t__SGB14805	msp_1513
SGB1835	t__SGB1835	msp_0336
SGB5735	t__SGB5735	msp_1277
SGB1684	t__SGB1684	msp_0519
SGB15254	t__SGB15254	msp_0763
SGB1956	t__SGB1956	msp_1826
SGB6271	t__SGB6271	msp_1054
SGB4350	t__SGB4350	msp_2014
SGB14022	t__SGB14022	msp_0960
SGB6382	t__SGB6382	msp_1368
SGB14210	t__SGB14210	msp_0673
SGB1037	t__SGB1037	msp_1980
SGB17241	t__SGB17241	msp_0910
SGB14795	t__SGB14795	msp_1140
SGB1585	t__SGB1585	msp_0260
SGB14322	t__SGB14322	msp_0800
SGB15084	t__SGB15084	msp_0682
SGB8769	t__SGB8769	msp_0672
SGB2276	t__SGB2276	msp_0847
SGB6260	t__SGB6260	msp_1717
SGB9281	t__SGB9281	msp_0288
SGB4964	t__SGB4964	msp_0296
SGB2021	t__SGB2021	msp_0511
SGB4900	t__SGB4900	msp_0273
SGB14313	t__SGB14313	msp_0173
SGB6286	t__SGB6286	msp_1420
SGB4873	t__SGB4873	msp_1688
SGB14230	t__SGB14230	msp_0344
SGB4348	t__SGB4348	msp_0271
SGB9275	t__SGB9275	msp_0724
SGB1676	t__SGB1676	msp_0651
SGB6521	t__SGB6521	msp_1498
SGB14989	t__SGB14989	msp_0952
SGB4119	t__SGB4119	msp_1854
SGB15179	t__SGB15179	msp_0311
SGB6533	t__SGB6533	msp_1042
SGB15309_group	t__SGB15309_group	msp_0953
SGB15000	t__SGB15000	msp_1877
SGB7114	t__SGB7114	msp_0600c
SGB4373	t__SGB4373	msp_0498
SGB27742	t__SGB27742	msp_1582
SGB14223	t__SGB14223	msp_0796
SGB15451	t__SGB15451	msp_1076
SGB6584	t__SGB6584	msp_0527
SGB4438	t__SGB4438	msp_0448
SGB9203	t__SGB9203	msp_0073
SGB14924	t__SGB14924	msp_0270
SGB1942	t__SGB1942	msp_0098
SGB4604	t__SGB4604	msp_0812
SGB4597	t__SGB4597	msp_1529
SGB9656	t__SGB9656	msp_1476
SGB6376	t__SGB6376	msp_1093
SGB4591	t__SGB4591	msp_1617
SGB6358	t__SGB6358	msp_0845
SGB15273	t__SGB15273	msp_0632
SGB5077	t__SGB5077	msp_0161
SGB4699	t__SGB4699	msp_0086
SGB2239	t__SGB2239	msp_0416
SGB9247	t__SGB9247	msp_0675
SGB15260	t__SGB15260	msp_0917
SGB4671	t__SGB4671	msp_0292
SGB9260	t__SGB9260	msp_0202
SGB15373	t__SGB15373	msp_0622
SGB4197	t__SGB4197	msp_0252
SGB15346	t__SGB15346	msp_0484
SGB1862	t__SGB1862	msp_0022
SGB5051	t__SGB5051	msp_0551
SGB5854	t__SGB5854	msp_0700
SGB6541	t__SGB6541	msp_1157
SGB9212	t__SGB9212	msp_0099
SGB9303	t__SGB9303	msp_0895
SGB13977	t__SGB13977	msp_0787
SGB6291	t__SGB6291	msp_1288
SGB4637	t__SGB4637	msp_0829
SGB14960	t__SGB14960	msp_1444
SGB6580	t__SGB6580	msp_1007
SGB7020	t__SGB7020	msp_1287
SGB6267	t__SGB6267	msp_1135
SGB6428	t__SGB6428	msp_1275
SGB4420	t__SGB4420	msp_0282
SGB15089	t__SGB15089	msp_0477
SGB6540	t__SGB6540	msp_1049
SGB14953	t__SGB14953	msp_0663
SGB9290	t__SGB9290	msp_0749
SGB14023	t__SGB14023	msp_1074
SGB15238	t__SGB15238	msp_0361
SGB14043	t__SGB14043	msp_1200
SGB2227	t__SGB2227	msp_0304
SGB3961	t__SGB3961	msp_0851
SGB2136	t__SGB2136	msp_1052
SGB7962	t__SGB7962	msp_0497
SGB15318	t__SGB15318	msp_0301
SGB6378	t__SGB6378	msp_1185
SGB698	t__SGB698	msp_1311
SGB15066	t__SGB15066	msp_1312
SGB13994	t__SGB13994	msp_1760
SGB14108	t__SGB14108	msp_0975
SGB5184	t__SGB5184	msp_0740
SGB14834	t__SGB14834	msp_1256
SGB1415	t__SGB1415	msp_0920
SGB5742	t__SGB5742	msp_0488
SGB5087	t__SGB5087	msp_0227
SGB14737	t__SGB14737	msp_0785
SGB4540_group	t__SGB4540_group	msp_0107
SGB15291	t__SGB15291	msp_0456
SGB4602	t__SGB4602	msp_1949
SGB15004	t__SGB15004	msp_0689
SGB4547	t__SGB4547	msp_0554
SGB8768	t__SGB8768	msp_0532
SGB1928	t__SGB1928	msp_0694
SGB54318	t__SGB54318	msp_1687
SGB1827	t__SGB1827	msp_0363
SGB6289	t__SGB6289	msp_0993
SGB4584	t__SGB4584	msp_0058
SGB14085	t__SGB14085	msp_1502
SGB1680	t__SGB1680	msp_0123
SGB57321	t__SGB57321	msp_1087
SGB4116	t__SGB4116	msp_0601c
SGB6506	t__SGB6506	msp_0985
SGB4714	t__SGB4714	msp_0906
SGB15272	t__SGB15272	msp_0565
SGB4571	t__SGB4571	msp_0604
SGB6522	t__SGB6522	msp_1122
SGB4870	t__SGB4870	msp_0625
SGB6077	t__SGB6077	msp_1679
SGB15286	t__SGB15286	msp_0124
SGB13998	t__SGB13998	msp_1082
SGB14001	t__SGB14001	msp_1598
SGB15051	t__SGB15051	msp_1062
SGB6173	t__SGB6173	msp_0697
SGB14870	t__SGB14870	msp_1850
SGB14106	t__SGB14106	msp_1186
SGB6340	t__SGB6340	msp_0578
SGB4303	t__SGB4303	msp_0285
