Simulation	Sample	Shannon
refMet4	SAMEA3178944	5.658491755139946
refKrak	SAMEA2466922	5.85677120477657
refKrak	SAMEA3136635	5.39919679395485
refKrak	SAMEA2467056	6.900416915410006
refKrak	SAMEA3136711	5.475854966880035
refKrak	SAMEA3136712	5.442591118162709
refKrak	SAMEA2467068	5.735191256419576
refKrak	SAMEA2467065	6.846541731663624
refKrak	SAMEA3136680	6.4421737337608365
refKrak	SAMEA3136708	6.0656266818581805
refKrak	SAMEA2467032	4.659120737789323
refKrak	SAMEA2467085	6.069418448577087
refKrak	SAMEA2466902	6.356868575989187
refKrak	SAMEA3178939	6.729686326701418
refKrak	SAMEA2467021	7.133410549002577
refKrak	SAMEA2467070	6.276068846393725
refKrak	SAMEA2467057	6.501323575515608
refKrak	SAMEA3136623	5.6807384575067275
refKrak	SAMEA2467034	6.908891155861523
refKrak	SAMEA3136683	6.992569037186118
refKrak	SAMEA3136734	6.705223520374341
refKrak	SAMEA2467059	5.388671061108793
refKrak	SAMEA3136760	7.1383296984606455
refKrak	SAMEA2467010	5.688668176137331
refKrak	SAMEA2467072	6.999703536016055
refKrak	SAMEA3136727	7.224087328272796
refKrak	SAMEA2467066	6.743143556567176
refKrak	SAMEA3136747	6.164717205008537
refKrak	SAMEA3136756	6.518177560225548
refKrak	SAMEA2467077	6.950378771816089
refKrak	SAMEA2466917	4.958961419250154
refKrak	SAMEA2467054	7.21679909685927
refKrak	SAMEA3136749	7.016402394595467
refKrak	SAMEA2467013	6.980571485700688
refKrak	SAMEA2466932	7.518051152110119
refKrak	SAMEA3136741	7.00182784893128
refKrak	SAMEA3136628	6.439078265502605
refKrak	SAMEA3136662	5.982678319011652
refKrak	SAMEA3136731	6.62609285891801
refKrak	SAMEA3136722	3.7140975514020984
refKrak	SAMEA2467082	5.600543252381617
refKrak	SAMEA2466918	6.520844848320561
refKrak	SAMEA3136638	6.825910538372861
refKrak	SAMEA2467033	6.422796717408649
refKrak	SAMEA3136625	6.737841614804339
refKrak	SAMEA3136630	7.181167266204248
refKrak	SAMEA3136709	6.79661324365512
refKrak	SAMEA3136649	4.780277483588147
refKrak	SAMEA2466967	7.2285183888787445
refKrak	SAMEA3136656	6.273909058625066
refKrak	SAMEA2467048	6.153262251253568
refKrak	SAMEA2466910	7.071401226161799
refKrak	SAMEA2466928	5.925462731162545
refKrak	SAMEA3136767	5.656430034025303
refKrak	SAMEA3136723	5.713167396816504
refKrak	SAMEA3136696	6.873904941191049
refKrak	SAMEA3136736	6.676044348355429
refKrak	SAMEA2466939	6.897982887932974
refKrak	SAMEA2466997	6.819487078925218
refKrak	SAMEA2466899	7.2405191982485135
refKrak	SAMEA2467025	6.9498876842807435
refKrak	SAMEA3136658	7.809114643861164
refKrak	SAMEA3136667	6.723775895263897
refKrak	SAMEA2466934	7.020075398622574
refKrak	SAMEA3136764	6.259137849903961
refKrak	SAMEA2467023	6.513729775805841
refKrak	SAMEA3136672	6.952138102582494
refKrak	SAMEA3136631	6.14098928152305
refKrak	SAMEA2466915	5.990274713531491
refKrak	SAMEA2466996	7.468884284137143
refKrak	SAMEA2466913	6.940421251306784
refKrak	SAMEA2466940	7.361578621460271
refKrak	SAMEA3136694	7.134707839111954
refKrak	SAMEA2466903	7.340443192609113
refKrak	SAMEA3136650	4.3396175526979395
refKrak	SAMEA3136697	6.469160210980387
refKrak	SAMEA2466898	7.186922700495046
refKrak	SAMEA3136678	5.294356421979499
refKrak	SAMEA3136642	7.499368014656029
refKrak	SAMEA2467036	7.521833532219833
refKrak	SAMEA3136740	6.6009918704801445
refKrak	SAMEA2466980	6.3715983657747355
refKrak	SAMEA3136748	6.657901603806468
refKrak	SAMEA3136732	7.091971630944983
refKrak	SAMEA3136655	5.9177712067565755
refKrak	SAMEA2466904	7.029507776220793
refKrak	SAMEA2467049	6.797582528064076
refKrak	SAMEA2466900	5.250542530395163
refKrak	SAMEA2466936	5.92632035905733
refKrak	SAMEA2467016	6.81625282650702
refKrak	SAMEA2466943	7.123920043543986
refKrak	SAMEA2466897	7.291062169904679
refKrak	SAMEA3136665	5.537927561111192
refKrak	SAMEA2466950	6.122592729730741
refKrak	SAMEA3136648	6.92081892803803
refKrak	SAMEA3136706	5.939767531461994
refKrak	SAMEA3136646	4.560411408571907
refKrak	SAMEA3136661	5.683940482380025
refKrak	SAMEA3136762	5.610601273916362
refKrak	SAMEA3136660	6.0372082964632
refKrak	SAMEA3136629	7.278756977670632
refKrak	SAMEA3136687	5.903568161413721
refKrak	SAMEA3136735	5.037744122704852
refKrak	SAMEA2466937	6.842229108937767
refKrak	SAMEA2466889	7.251413963427062
refKrak	SAMEA3136759	7.713818879303545
refKrak	SAMEA3136763	6.4501963679634295
refKrak	SAMEA3136753	6.786795445627113
refKrak	SAMEA2467003	6.903628811727179
refKrak	SAMEA3136673	6.599402197487415
refKrak	SAMEA2467002	6.274977145547379
refKrak	SAMEA2467039	7.611811215924068
refKrak	SAMEA2466975	6.609909352289571
refKrak	SAMEA3136689	7.300321809454008
refKrak	SAMEA3136676	7.213580947643477
refKrak	SAMEA3136664	6.676353296513251
refKrak	SAMEA3136754	7.24286549376232
refKrak	SAMEA2467076	6.969559779588619
refKrak	SAMEA3136674	6.1731251791498565
refKrak	SAMEA3136685	7.055823186583466
refKrak	SAMEA3136671	6.78021346090492
refKrak	SAMEA2466921	6.300491634911903
refKrak	SAMEA3136688	6.580368867796878
refKrak	SAMEA3136679	5.261710009523478
refKrak	SAMEA2466935	6.851165029906474
refKrak	SAMEA2466947	7.049196386457705
refKrak	SAMEA3136670	6.771401657700903
refKrak	SAMEA3136733	6.381063359729318
refKrak	SAMEA3136644	7.4190118159345495
refKrak	SAMEA2466891	7.173348468717785
refKrak	SAMEA3136700	7.392522869230462
refKrak	SAMEA2466901	6.33994198528756
refKrak	SAMEA3136626	5.151798541517568
refKrak	SAMEA3136707	6.94312436935329
refKrak	SAMEA2467058	6.378234730767403
refKrak	SAMEA2466916	6.122622757416209
refKrak	SAMEA2466912	6.081956481585369
refKrak	SAMEA2466973	6.920882762312859
refKrak	SAMEA2467067	6.965608316393297
refKrak	SAMEA2467006	6.955448789336427
refKrak	SAMEA3136641	6.872245776036822
refKrak	SAMEA2467069	5.94418205023087
refKrak	SAMEA3136713	7.221600354544142
refKrak	SAMEA2466993	7.176601624730533
refKrak	SAMEA3136739	6.731419458223554
refKrak	SAMEA3178936	5.8332075719704415
refKrak	SAMEA3136682	6.30096039426987
refKrak	SAMEA3136751	7.434854292777632
refKrak	SAMEA2466945	6.940601051112523
refKrak	SAMEA3136684	7.439266616250341
refKrak	SAMEA3136743	7.388352408098892
refKrak	SAMEA2467075	6.8568000240581
refKrak	SAMEA2467001	5.305224551881943
refKrak	SAMEA3136710	5.0192672217688274
refKrak	SAMEA3136744	5.9705888003111465
refKrak	SAMEA2466960	6.438664288772363
refKrak	SAMEA2466988	7.274897183865199
refKrak	SAMEA3136653	6.381057345189393
refKrak	SAMEA2467027	7.347627674576686
refKrak	SAMEA2466984	7.260327719199459
refKrak	SAMEA2466999	6.183382633464675
refKrak	SAMEA3178943	7.1777479693558295
refKrak	SAMEA3136729	7.452106232869489
refKrak	SAMEA3136669	6.485904598522847
refKrak	SAMEA2466914	6.611947817280885
refKrak	SAMEA2467044	6.815226995686502
refKrak	SAMEA2466924	5.959699724115625
refKrak	SAMEA2466895	6.261881814626091
refKrak	SAMEA3136657	5.9940389667709315
refKrak	SAMEA3136690	4.222499137426926
refKrak	SAMEA2467019	7.211307541067571
refKrak	SAMEA3136737	5.958313753331242
refKrak	SAMEA2467014	6.737732690942258
refKrak	SAMEA2467084	6.680489442297832
refKrak	SAMEA3136651	6.409951006297974
refKrak	SAMEA2466981	6.330177232710881
refKrak	SAMEA2466959	6.684854118918963
refKrak	SAMEA3136691	6.381778918126296
refKrak	SAMEA2466887	7.000173442582632
refKrak	SAMEA2466948	6.79849064568218
refKrak	SAMEA3136652	7.0328272481736915
refKrak	SAMEA2467008	6.825102458136773
refKrak	SAMEA3178937	7.046421190378357
refKrak	SAMEA3136659	7.114973680035649
refKrak	SAMEA2467042	7.297654365044374
refKrak	SAMEA2467074	7.002079329170343
refKrak	SAMEA2466907	5.612038357467157
refKrak	SAMEA2467012	6.949911673638265
refKrak	SAMEA2466968	6.534126553905404
refKrak	SAMEA3136721	6.421514634740769
refKrak	SAMEA2466972	7.214880725501816
refKrak	SAMEA3136755	6.824172057886603
refKrak	SAMEA2466911	7.66505390236487
refKrak	SAMEA3136716	6.749451268119886
refKrak	SAMEA3136725	6.896418387587375
refKrak	SAMEA2466933	6.297221156721927
refKrak	SAMEA2467017	7.061360072717372
refKrak	SAMEA2467052	6.627794709820681
refKrak	SAMEA2466926	5.539727195719141
refKrak	SAMEA3136695	7.003757298796709
refKrak	SAMEA3178944	6.777195564363073
refKrak	SAMEA2467050	7.0435770546575345
refKrak	SAMEA3136668	5.481598208448732
refKrak	SAMEA2466963	7.2542518242799225
refKrak	SAMEA2466892	6.561640543057405
refKrak	SAMEA2466986	7.5898151775369795
refKrak	SAMEA3136761	6.800147632115758
refKrak	SAMEA2467053	5.825501535781253
refKrak	SAMEA3136675	7.069921469485118
refKrak	SAMEA3136633	5.197732107361173
refKrak	SAMEA2467062	6.43290183755618
refKrak	SAMEA2466989	6.18535587777324
refKrak	SAMEA2466952	6.5230068729872395
refKrak	SAMEA2467024	6.656333404743855
refKrak	SAMEA2467037	6.919928453546336
refKrak	SAMEA3136705	7.295680397403074
refKrak	SAMEA3136757	5.9766125846968405
refKrak	SAMEA2466971	6.973027951527042
refKrak	SAMEA3136704	6.934369402752246
refKrak	SAMEA3136714	6.116369083474152
refKrak	SAMEA2467031	6.703729241841834
refKrak	SAMEA2466888	7.178385713424927
refKrak	SAMEA3136702	4.2746457512056315
refKrak	SAMEA2467035	7.485112068807235
refKrak	SAMEA3136643	6.139626404719837
refKrak	SAMEA3136768	2.6153649049428567
refKrak	SAMEA2466905	6.844125490273596
refKrak	SAMEA3136663	6.425014551713995
refKrak	SAMEA2466958	5.876963250850907
refKrak	SAMEA2467020	7.534923819950849
refKrak	SAMEA2467018	6.201005571918929
refKrak	SAMEA3136681	4.898314004155634
refKrak	SAMEA3136699	7.678611578969215
refKrak	SAMEA2466925	7.764135357525383
refKrak	SAMEA3178940	5.661400687870617
refKrak	SAMEA3136750	6.164378189998664
refKrak	SAMEA3136703	6.008792518483158
refKrak	SAMEA2467009	4.579821672039465
refKrak	SAMEA3136627	7.23397551536994
refKrak	SAMEA3136752	7.367587686883439
refKrak	SAMEA2467030	6.683931933366869
refKrak	SAMEA3136634	6.814396302176751
refKrak	SAMEA2466923	5.506867699467039
refKrak	SAMEA2466964	7.654800817507904
refKrak	SAMEA2466970	6.649849799355083
refKrak	SAMEA2466949	6.955212611334656
refKrak	SAMEA2467078	7.0345775899327805
refKrak	SAMEA2466983	6.359418404342545
refKrak	SAMEA2467055	7.6033360038617435
refKrak	SAMEA2466992	7.084379030286997
refKrak	SAMEA2467026	7.118878201650991
refKrak	SAMEA3136745	5.069050307778743
refKrak	SAMEA2467004	6.374792932066502
refKrak	SAMEA2466965	7.348521030096824
refKrak	SAMEA2466995	7.103850167093618
refKrak	SAMEA2467041	6.811667995699091
refKrak	SAMEA2467029	7.468419949828391
refKrak	SAMEA3136637	6.722357245653809
refKrak	SAMEA2466955	7.389380801436847
refKrak	SAMEA3136693	6.337166892259816
refKrak	SAMEA2467038	5.443167722176266
refKrak	SAMEA2466957	6.866331908608161
refKrak	SAMEA2466974	6.503454260828094
refKrak	SAMEA3178941	6.773887640784802
refKrak	SAMEA2467073	6.964475250935497
refKrak	SAMEA3136758	5.2459444300187466
refKrak	SAMEA2467045	6.581724016549117
refKrak	SAMEA2467028	7.091639382835111
refKrak	SAMEA2467011	5.939523733691373
refKrak	SAMEA2467047	5.463040198403055
refKrak	SAMEA2467015	7.145514785706265
refKrak	SAMEA2466991	6.79669072337577
refKrak	SAMEA3136724	6.1415053550519865
refKrak	SAMEA3136717	6.673272149387885
refKrak	SAMEA2467040	6.583847916224611
refKrak	SAMEA3136720	5.77551346011011
refKrak	SAMEA3136746	7.674608672928707
refKrak	SAMEA3136624	6.285688474574724
refKrak	SAMEA3136640	4.911984833436338
refKrak	SAMEA2467060	6.479705060478526
refKrak	SAMEA2466944	5.386237750332784
refKrak	SAMEA2466894	6.312760299212534
refKrak	SAMEA2467071	6.38309833502727
refKrak	SAMEA2466930	6.932804596606864
refKrak	SAMEA3136654	7.440050371821801
refKrak	SAMEA2466954	6.508261248024882
refKrak	SAMEA3136698	7.2203864627492145
refKrak	SAMEA2467051	6.560787591120901
refKrak	SAMEA2466942	7.432206786427728
refKrak	SAMEA2466953	7.076457866665238
refKrak	SAMEA2466890	7.148864937145138
refKrak	SAMEA2466938	6.845830467789291
refKrak	SAMEA2466979	7.133520061400863
refKrak	SAMEA3136738	7.062124368289242
refKrak	SAMEA3178938	6.747750786110844
refKrak	SAMEA2466977	7.19063587847828
refKrak	SAMEA3178942	6.022911653864363
refKrak	SAMEA2466966	6.43368374997749
refKrak	SAMEA2466951	7.495101477186362
refKrak	SAMEA3136728	6.8630806660164625
refKrak	SAMEA2466961	6.586872660304328
refKrak	SAMEA3136765	3.804764775267947
refKrak	SAMEA3136692	5.190588950791042
refKrak	SAMEA2466976	7.299606139677512
refKrak	SAMEA3136769	4.7189841928551735
refKrak	SAMEA2466931	6.847236548546433
refKrak	SAMEA2466908	7.108013163477792
refKrak	SAMEA2467081	6.528024661220653
refKrak	SAMEA2466946	6.834503805938175
refKrak	SAMEA3136766	5.657365358220369
refKrak	SAMEA2466896	5.48208317754045
refKrak	SAMEA3136666	6.333474420199839
refKrak	SAMEA3136730	6.0051544682897635
refKrak	SAMEA2467064	6.291656706674175
refKrak	SAMEA3136718	7.422742897475644
refKrak	SAMEA2466987	5.777237263965013
refKrak	SAMEA3136632	7.091531446745075
refKrak	SAMEA2466927	7.185007766785212
refKrak	SAMEA2466962	6.733388332498941
refKrak	SAMEA3136636	5.085162056917343
refKrak	SAMEA3136639	4.894555970882773
refKrak	SAMEA2467046	7.224824972502676
refKrak	SAMEA3136645	6.39788874367399
refKrak	SAMEA3136742	6.7431050167524225
refKrak	SAMEA3136686	5.7874737956107465
refKrak	SAMEA2466941	6.37694290758959
refKrak	SAMEA2466998	6.170480109907368
refKrak	SAMEA2467022	6.9122539295229535
refKrak	SAMEA2467063	6.59735887447202
refKrak	SAMEA3136647	3.3838263954389167
refKrak	SAMEA3136677	3.7737979364305017
refKrak	SAMEA2467079	5.118707467880048
refKrak	SAMEA2466956	5.814007185279935
refKrak	SAMEA2466893	6.312190051512684
refKrak	SAMEA3136726	6.736852979472656
refKrak	SAMEA3136719	6.588754761223544
refKrak	SAMEA2467080	6.910748666025525
refKrak	SAMEA2467043	6.074532110274514
refKrak	SAMEA3136715	6.169322829987944
refKrak	SAMEA2467061	7.053728199881298
refKrak	SAMEA2466969	5.993116707836695
refKrak	SAMEA2467083	6.738219703116208
refKrak	SAMEA2466906	7.0793136821470855
refKrak	SAMEA3136701	6.5703753552324
